Kingdom,Class,Order,ClosenessCentrality,Degree,Cluster
Bacteria,Alphaproteobacteria,SAR11 clade,0.285033365,5,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.305413687,7,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.323943662,9,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.312434692,6,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.30141129,7,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.294001967,7,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.272313297,6,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.318763326,10,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.300804829,7,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.297512438,5,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.269612263,5,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.294871795,5,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.290573372,7,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.285577841,5,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.30984456,7,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.313417191,5,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.315068493,9,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.310810811,7,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.301107754,6,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.323943662,7,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.269855596,5,Cluster_1
Archaea,Thermoplasmata,Marine Group II,0.305725971,8,Cluster_1
Archaea,Thermoplasmata,Marine Group II,0.282341832,4,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.337471783,11,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.312761506,8,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.293424926,5,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.305725971,6,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.295454545,5,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.331853496,9,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.283950617,4,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.302631579,9,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.328932893,10,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.293137255,6,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.286948177,5,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.306352459,6,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.30479103,8,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.326775956,8,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.309203723,5,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.27839851,6,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.24833887,3,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.304170905,7,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.272065514,4,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.291707317,6,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.337091319,9,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.337853107,10,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.330752212,9,Cluster_1
Bacteria,Bacteroidia,Sphingobacteriales,0.323943662,8,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.293137255,5,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.315068493,7,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.320815451,8,Cluster_1
Bacteria,Deltaproteobacteria,SAR324 clade(Marine group B),0.290573372,5,Cluster_1
Bacteria,Bacteroidia,Sphingobacteriales,0.296626984,6,Cluster_1
Bacteria,Deltaproteobacteria,SAR324 clade(Marine group B),0.288331726,5,Cluster_1
Bacteria,Deltaproteobacteria,SAR324 clade(Marine group B),0.297808765,6,Cluster_1
Bacteria,Actinobacteria,Micrococcales,0.307929969,7,Cluster_1
Bacteria,Actinobacteria,Micrococcales,0.269126913,2,Cluster_1
Bacteria,Actinobacteria,Micrococcales,0.306666667,7,Cluster_1
Bacteria,Actinobacteria,Micrococcales,0.295162883,7,Cluster_1
Bacteria,Actinobacteria,Micrococcales,0.273809524,5,Cluster_1
Bacteria,Actinobacteria,Micrococcales,0.291992188,5,Cluster_1
Bacteria,Acidimicrobiia,Actinomarinales,0.314736842,7,Cluster_1
Bacteria,Bacteroidia,Flavobacteriales,0.296039604,5,Cluster_1
Bacteria,Acidimicrobiia,Actinomarinales,0.30141129,6,Cluster_1
Bacteria,Acidimicrobiia,Actinomarinales,0.260452962,3,Cluster_1
Bacteria,Acidimicrobiia,Actinomarinales,0.334078212,9,Cluster_1
Bacteria,Acidimicrobiia,Actinomarinales,0.296039604,6,Cluster_1
Bacteria,Acidimicrobiia,Actinomarinales,0.283681214,5,Cluster_1
Bacteria,Acidimicrobiia,Actinomarinales,0.315733897,8,Cluster_1
Bacteria,Acidimicrobiia,Actinomarinales,0.296626984,7,Cluster_1
Bacteria,Verrucomicrobiae,Opitutales,0.336332958,8,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.308884298,6,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.301715439,6,Cluster_1
Bacteria,Deltaproteobacteria,SAR324 clade(Marine group B),0.288888889,5,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.279700655,4,Cluster_1
Bacteria,Alphaproteobacteria,SAR11 clade,0.289168279,3,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.316737288,8,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.317073171,7,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.301715439,6,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.328932893,8,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.302631579,5,Cluster_1
Bacteria,Alphaproteobacteria,Rhodospirillales,0.28585086,5,Cluster_1
Bacteria,Alphaproteobacteria,Rhodospirillales,0.290856031,4,Cluster_1
Bacteria,Acidimicrobiia,Actinomarinales,0.311458333,7,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.338618347,9,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.332222222,10,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.2972167,6,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.316067653,6,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.281015038,3,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.327491785,9,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.296333003,6,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.284220532,4,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.294871795,4,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.30698152,8,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.320471597,7,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.30984456,7,Cluster_1
Archaea,Thermoplasmata,Marine Group II,0.264367816,2,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.290291262,6,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.2875,4,Cluster_1
Archaea,Thermoplasmata,Marine Group II,0.306038895,6,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.318763326,9,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.303861789,6,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.322545847,9,Cluster_1
Bacteria,Alphaproteobacteria,Rhodobacterales,0.323243243,7,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.299,7,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.289448209,5,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.265541741,3,Cluster_1
Bacteria,Alphaproteobacteria,Puniceispirillales,0.2972167,8,Cluster_1
Bacteria,Gammaproteobacteria,Cellvibrionales,0.312761506,7,Cluster_1
Bacteria,Actinobacteria,Micrococcales,0.296333003,5,Cluster_1
Bacteria,Gammaproteobacteria,Oceanospirillales,0.286124402,6,Cluster_1
Bacteria,Actinobacteria,Micrococcales,0.259548611,3,Cluster_1
Bacteria,Gammaproteobacteria,Oceanospirillales,0.290573372,4,Cluster_1
